title,imdbid,year,rating,BUDGET,passed,adj_budget
S.W.A.T.,257076,2003,3,80000000.0,True,127241304.34782606
Runaway Jury,313542,2003,1,60000000.0,False,95430978.26086956
"Italian Job, The",317740,2003,1,60000000.0,False,95430978.26086956
Underworld,320691,2003,3,22000000.0,True,34991358.69565217
"Recruit, The",292506,2003,1,46000000.0,False,73163749.99999999
"Matrix Reloaded, The",234215,2003,2,150000000.0,False,238577445.65217388
"Matrix Revolutions, The",242653,2003,3,150000000.0,True,238577445.65217388
X2 (X-Men 2),290334,2003,3,110000000.0,True,174956793.47826084
Shanghai Knights,300471,2003,1,50000000.0,False,79525815.2173913
Identity,309698,2003,1,28000000.0,False,44534456.521739125
Bruce Almighty,315327,2003,3,80000000.0,True,127241304.34782606
"Lord of the Rings: The Return of the King, The",167260,2003,1,94000000.0,False,149508532.60869563
Monster,340855,2003,3,8000000.0,True,12724130.43478261
Calendar Girls,337909,2003,3,10000000.0,True,15905163.043478258
"Core, The",298814,2003,3,60000000.0,True,95430978.26086956
Scary Movie 3,306047,2003,3,48000000.0,True,76344782.60869564
Lara Croft Tomb Raider: The Cradle of Life,325703,2003,3,95000000.0,True,151099048.91304347
Kill Bill: Vol. 1,266697,2003,3,30000000.0,True,47715489.13043478
Pirates of the Caribbean: The Curse of the Black Pearl,325980,2003,3,140000000.0,True,222672282.6086956
Uptown Girls,263757,2003,3,20000000.0,True,31810326.086956516
Finding Nemo,266543,2003,1,94000000.0,False,149508532.60869563
Love Actually,314331,2003,3,40000000.0,True,63620652.17391303
"Room, The",368226,2003,3,6000000.0,True,9543097.826086955
Master and Commander: The Far Side of the World,311113,2003,0,150000000.0,False,238577445.65217388
Under the Tuscan Sun,328589,2003,3,18000000.0,True,28629293.478260864
Les triplettes de Belleville,286244,2003,3,9500000.0,True,15109904.891304346
Sinbad: Legend of the Seven Seas,165982,2003,2,60000000.0,False,95430978.26086956
Swimming Pool,324133,2003,3,7800000.0,True,12406027.173913043
Lost In Translation,335266,2003,3,4000000.0,True,6362065.217391305
"Jungle Book 2, The",283426,2003,0,20000000.0,False,31810326.086956516
Hollywood Homicide,329717,2003,1,75000000.0,False,119288722.82608694
Holes,311289,2003,2,20000000.0,False,31810326.086956516
How to Lose a Guy in 10 Days,251127,2003,3,50000000.0,True,79525815.2173913
Freaky Friday,322330,2003,3,26000000.0,True,41353423.91304348
Cold Mountain,159365,2003,3,79000000.0,True,125650788.04347824
Mona Lisa Smile,304415,2003,3,65000000.0,True,103383559.7826087
"Blind Swordsman: Zatoichi, The",363226,2003,2,2500000.0,False,3976290.7608695645
Down With Love,309530,2003,3,35000000.0,True,55668070.6521739
"Last Samurai, The",325710,2003,0,140000000.0,False,222672282.6086956
"Missing, The",338188,2003,3,60000000.0,True,95430978.26086956
"Legally Blonde 2: Red, White &amp; Blonde",333780,2003,3,45000000.0,True,71573233.69565216
Spy Kids 3-D: Game Over,338459,2003,3,38000000.0,True,60439619.56521738
Goodbye Lenin!,301357,2003,3,4800000.0,True,7634478.260869564
"League of Extraordinary Gentlemen, The",311429,2003,0,78000000.0,False,124060271.73913041
Daredevil,287978,2003,0,78000000.0,False,124060271.73913041
In the Cut,199626,2003,3,12000000.0,True,19086195.65217391
A Tale of Two Sisters,365376,2003,3,15050245.0,True,23937660.056929346
Thirteen,328538,2003,3,2000000.0,True,3181032.6086956523
Big Fish,319061,2003,1,70000000.0,False,111336141.3043478
"Barbarian Invasions, The",338135,2003,3,8000000.0,True,12724130.43478261
Something&#39;s Gotta Give,337741,2003,3,80000000.0,True,127241304.34782606
Dogville,276919,2003,3,10000000.0,True,15905163.043478258
Shattered Glass,323944,2003,2,6000000.0,False,9543097.826086955
House of Sand and Fog,315983,2003,3,16500000.0,True,26243519.02173913
Final Destination 2,309593,2003,3,26000000.0,True,41353423.91304348
"Dreamers, The",309987,2003,2,15000000.0,False,23857744.56521739
Peter Pan,316396,2003,3,100000000.0,True,159051630.4347826
It&#39;s Better to Be Wanted for Murder Than Not to Be Wanted at All,339882,2003,1,30000.0,False,47715.489130434784
