title,imdbid,year,rating,POPULARITY,passed
S.W.A.T.,257076,2003,3,24.691,True
Runaway Jury,313542,2003,1,12.496,False
"Italian Job, The",317740,2003,1,25.727,False
Underworld,320691,2003,3,26.634,True
"Recruit, The",292506,2003,1,15.262,False
"Matrix Reloaded, The",234215,2003,2,39.064,False
"Matrix Revolutions, The",242653,2003,3,50.116,True
X2 (X-Men 2),290334,2003,3,1.49,True
Shanghai Knights,300471,2003,1,14.494,False
Identity,309698,2003,1,19.488,False
Bruce Almighty,315327,2003,3,39.924,True
"Lord of the Rings: The Return of the King, The",167260,2003,1,57.065,False
Monster,340855,2003,3,16.114,True
Calendar Girls,337909,2003,3,10.212,True
Tokyo Godfathers,388473,2003,3,12.524,True
"Core, The",298814,2003,3,19.23,True
Scary Movie 3,306047,2003,3,30.662,True
Lara Croft Tomb Raider: The Cradle of Life,325703,2003,3,15.15,True
Kill Bill: Vol. 1,266697,2003,3,28.052,True
Pirates of the Caribbean: The Curse of the Black Pearl,325980,2003,3,56.942,True
Uptown Girls,263757,2003,3,13.675,True
Finding Nemo,266543,2003,1,42.096,False
Love Actually,314331,2003,3,20.681,True
"Room, The",368226,2003,3,11.064,True
Master and Commander: The Far Side of the World,311113,2003,0,13.351,False
Under the Tuscan Sun,328589,2003,3,12.532,True
Les triplettes de Belleville,286244,2003,3,8.453,True
Sinbad: Legend of the Seven Seas,165982,2003,2,22.519,False
Swimming Pool,324133,2003,3,10.658,True
Lost In Translation,335266,2003,3,25.718,True
"Jungle Book 2, The",283426,2003,0,15.198,False
Hollywood Homicide,329717,2003,1,9.385,False
"Five Obstructions, The",354575,2003,0,5.45,False
Holes,311289,2003,2,9.435,False
How to Lose a Guy in 10 Days,251127,2003,3,18.233,True
Girls Will Be Girls,339071,2003,3,6.52,True
View from the Top,264150,2003,3,10.239,True
Freaky Friday,322330,2003,3,23.061,True
I Capture the Castle,300015,2003,3,8.327,True
Cold Mountain,159365,2003,3,16.542,True
Mona Lisa Smile,304415,2003,3,16.045,True
"Blind Swordsman: Zatoichi, The",363226,2003,2,12.552,False
Nothing,298482,2003,0,6.923,False
Rats,277986,2003,3,7.428,True
Down With Love,309530,2003,3,9.5,True
"Last Samurai, The",325710,2003,0,29.144,False
"Missing, The",338188,2003,3,12.921,True
Stara basn. Kiedy slonce bylo bogiem (An Ancient Tale: When the Sun was God),380726,2003,2,5.246,False
"Best of Youth, The",346336,2003,3,10.907,True
"Legally Blonde 2: Red, White &amp; Blonde",333780,2003,3,17.945,True
Spy Kids 3-D: Game Over,338459,2003,3,19.218,True
Le divorce,306734,2003,3,8.215,True
Goodbye Lenin!,301357,2003,3,14.949,True
"League of Extraordinary Gentlemen, The",311429,2003,0,20.59,False
Distant Lights (Lichter),351238,2003,3,2.413,True
