title,id,rating,year,imdbid
Passage de Venus,9602,0,1874,3155794
La Rosace Magique,9804,0,1877,14495706
Sallie Gardner at a Gallop,9603,0,1878,2221420
Le singe musicien,9806,0,1878,12592084
Athlete Swinging a Pick,9816,0,1881,7816420
Buffalo Running,9831,0,1883,5459794
L&#39;homme machine,9832,0,1885,8588366
Man Walking Around the Corner,9614,0,1887,2075247
Cockatoo Flying,9836,0,1887,8133192
Child Carrying Flowers to Woman,9837,0,1887,7411790
Jumping Over a Man&#39;s Back-Leapfrog,9838,0,1887,7541160
Man Riding Jumping Horse,9841,0,1887,7754902
Baboon Climbing a Pole,9902,0,1887,8361552
Roundhay Garden Scene,8040,0,1888,392728
Accordion Player,9615,0,1888,1758563
Traffic Crossing Leeds Bridge,9616,0,1888,343112
Pferd und Reiter Springen uber ein Hindernis,9675,0,1888,3274100
Brighton Street Scene,9947,0,1888,2116853
"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",9619,0,1889,466876
Hyde Park Corner,9945,0,1889,2116898
"Monkeyshines, No. 1",9617,0,1890,361921
"Monkeyshines, No. 2",9618,0,1890,416046
London&#39;s Trafalgar Square,9621,0,1890,1202028
"Monkeyshines, No. 3",9678,0,1890,416047
Mosquinha,9946,0,1890,5285442
"Traffic in King&#39;s Road, Chelsea",9944,0,1890,2116968
Dickson Greeting,9626,0,1891,241373
Men Boxing,9628,0,1891,241715
Newark Athlete,9629,0,1891,241763
"Duncan and Another, Blacksmith Shop",9792,0,1891,241393
Duncan Smoking,9793,0,1891,241392
Duncan or Devonald with Muslin Cloud,9794,0,1891,241394
"Monkey and Another, Boxing",9795,0,1891,241735
Je vous aime,9800,0,1891,3201916
La vague,9802,0,1891,3508566
Two Fencers,9943,0,1891,5447082
Pauvre Pierrot,5433,0,1892,3
Un bon bock,9631,0,1892,4
Le clown et ses chiens,9632,0,1892,2
Fencing,9951,0,1892,241446
Le prince de Galles,9952,0,1892,234520
Wrestling,9948,0,1892,242148
Boxing,9986,0,1892,241266
Blacksmith Scene,9583,0,1893,5
Annabelle Butterfly Dance,9636,0,1894,229217
Edison Kinetoscope Records: Annie Oakley,9642,0,1894,8419312
Autour d&#39;une cabine,9646,0,1894,15
"Barbershop, The",9648,0,1894,229235
Bucking Broncho,9649,0,1894,309396
Buffalo Dance,9650,0,1894,309402
Edison Kinetoscopic Record of a Sneeze,9652,0,1894,8
Dickson Experimental Sound Film,9654,0,1894,177707
Chinese Opium Den,9655,0,1894,6
Corbett and Courtney Before the Kinetograph,9656,0,1894,7
Falling Cat,9662,0,1894,2049440
"Glenroy Bros., No. 2",9663,0,1894,312728
Glenroy Brothers,9664,0,1894,256782
Leonard-Cushing Fight,9668,0,1894,203646
"Luis Martinetti, Contortionist",9671,0,1894,277115
Sandow No. 2,9673,0,1894,2161519
Sandow No. 3,9674,0,1894,2161521
Reve au coin du feu,9681,0,1894,413219
Miss Jerry,9779,0,1894,9
Tables Turned on the Gardener,5444,0,1895,14
"Execution of Mary, Queen of Scots, The",6200,0,1895,132134
Akrobatisches Potpourri,9679,1,1895,11
Annabelle Serpentine Dance,9683,0,1895,154152
Italienischer Bauerntanz,9714,0,1895,17
Baby&#39;s Dinner,9715,1,1895,29
Billy Edwards and the Unknown,9766,0,1895,477266
Blacksmith Scene,9767,0,1895,22
Barque sortant du port,9787,0,1895,16
"House of the Devil, The",4982,0,1896,91
Une nuit terrible,5406,0,1896,131
La fee aux choux,5445,0,1896,223341
"Arrival of a Train, The",6199,0,1896,12
Sandow,9672,0,1896,1428455
Alger: rue Bab-Azoun,9949,0,1896,1672718
Lassage des boeufs pour le labour,9950,0,1896,1736599
Lancement d&#39;un navire,9901,0,1896,222137
Bataille de neige,9328,0,1897,41
Four Heads Are Better Than One,4978,0,1898,135696
"Astronomer&#39;s Dream; or, The Man in the Moon, The",5410,0,1898,211
"Temptation of St. Anthony, The",5411,0,1898,224240
A Turn of the Century Illusionist,4994,0,1899,246
Cinderella,5914,3,1899,230
Sherlock Holmes Baffled,1594,0,1900,291476
"Enchanted Drawing, The",4271,0,1900,300
Grandma&#39;s Reading Glass,4343,0,1900,304
As Seen Through A Telescope (a.k.a The Professor and His Field Glass),4344,0,1900,272
Explosion of a Motor Car (a.k.a The Dlights of Automobiling),4345,0,1900,257654
Hamlet ( Le Duel d&#39;Hamlet),4346,0,1900,306
"One-Man Band, The",4993,0,1900,135453
Grandma Threading Her Needle,5069,0,1900,377995
"Searching Ruins on Broadway, Galveston, for Dead Bodies",5072,0,1900,230746
Let Me Dream Again,5438,0,1900,313
"Doctor and the Monkey, The",5446,0,1900,227438
L&#39;homme a la tete en caoutchouc,4995,0,1901,359
Reve et realite,5437,0,1901,258104
Bluebeard,5500,0,1901,131934
Le voyage dans la lune,1252,0,1902,417
Gulliver&#39;s Travels,5431,0,1902,229024
"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",5432,0,1902,367177
Mephistopheles&#39; School of Magic,5443,0,1902,413
"Great Train Robbery, The",1319,0,1903,439
"Infernal Boiling Pot, The",5002,0,1903,135180
"Music Lover, The",5063,0,1903,455
"Monster, The",5064,0,1903,223755
"Enchanted Well, The",5683,0,1903,189498
"Cook in Trouble, The",5224,0,1904,215664
"Living Playing Cards, The",5404,0,1904,135179
"Untamable Whiskers, The",5601,0,1904,135631
Le voyage a travers l&#39;impossible,6135,0,1904,499
"Scheming Gambler&#39;s Paradise, The",5003,0,1905,135690
"Black Imp, The",5602,0,1905,215575
"Story of the Kelly Gang, The",1349,1,1906,574
"Mysterious Retort, The",5024,0,1906,216016
Humorous Phases of Funny Faces,5435,0,1906,554
"Hilarious Posters, The",5603,0,1906,135122
"400 Tricks of the Devil, The",5684,0,1906,567
A Funny Shave,6206,0,1906,449172
"Consequence of Feminism, The",7215,0,1906,1260944
"Eclipse: Courtship of the Sun and Moon, The",5223,0,1907,215737
Good Glue Sticks,5615,0,1907,215817
Unusual Cooking,6231,0,1908,1802750
"Princess Nicotine; or, The Smoke Fairy",4409,2,1909,1009
"Devilish Tenant, The",5635,0,1909,127948
Le barometre de la fidelite,6211,1,1909,277596
Tilly the Tomboy Visits the Poor,1464,3,1910,232821
Mobilier fidele,4983,0,1910,486978
A Trip to Mars,5685,0,1910,1515725
Cleopatra,2003,2,1912,2101
"Invaders, The",2005,0,1912,2281
Max and the Donkey,5357,0,1912,277865
"Voyage of the Bourrichon Family, The",5364,0,1913,3512
Suspense,5915,0,1913,3424
A Florida Enchantment,4457,2,1914,3973
"Birth of a Nation, The",1258,2,1915,4972
Gretchen the Greenhorn,2008,3,1916,6745
Lady Windermere&#39;s Fan,2014,3,1916,279914
"Vagabond, The",5368,0,1916,7507
Intolerance: Love&#39;s Struggle Throughout the Ages,5944,0,1916,6864
Snow White,7004,3,1916,7361
A Tale of Two Cities,1981,3,1917,8652
Rebecca of Sunnybrook Farm,1993,3,1917,8499
"Poor Little Rich Girl, The",1994,3,1917,8443
A Romance of the Redwoods,2015,0,1917,8519
"Raffles, the Amateur Cracksman",2019,2,1917,8489
Tarzan of the Apes,1996,3,1918,9682
Stella Maris,2007,3,1918,9652
Are Crooks Dishonest?,5441,0,1918,8844
Ich mochte kein Mann sein,7108,3,1918,10281
When the Clouds Roll by,2018,3,1919,10879
Broken Blossoms or The Yellow Man and the Girl,2588,0,1919,9968
"Cabinet of Dr. Caligari, The",1306,0,1920,10323
Pollyanna,1991,3,1920,11588
Within Our Gates,5948,3,1920,11870
Orphans of the Storm,1263,3,1921,12532
"Kid, The",3945,0,1921,12349
"Blot, The",4204,3,1921,11979
K&ouml;rkarlen (The Phantom Carriage),5898,2,1921,12364
"Nosferatu, eine Symphonie des Grauens",1307,2,1922,13442
"Phantom, The",1631,2,1922,13496
Nathan der Weise,1778,2,1922,13428
"Man from Beyond, The",2001,1,1922,13367
H&auml;xan: Witchcraft Through the Ages,3800,3,1922,13257
"Paleface, The",5361,0,1922,12543
Nanook of the North,5901,1,1922,13427
Foolish Wives,5958,3,1922,13140
"Dr. Mabuse, der Spieler - Ein Bild der Zeit",5967,3,1922,13086
Safety Last!,1961,0,1923,14429
Why Worry?,1967,0,1923,14611
"Silent Command, The",1998,2,1923,14469
La souriante Madame Beudet,5888,3,1923,13626
Our Hospitality,5949,0,1923,14341
A Woman of Paris,8947,2,1923,14624
Die Nibelungen,1337,2,1924,15175
Kriemhild&#39;s Revenge,1338,2,1924,15174
"Thief of Bagdad, The",1264,0,1924,15400
Wild Oranges,1960,0,1924,15498
"Navigator, The",2009,0,1924,15163
Sherlock Jr.,2011,0,1924,15324
Girl Shy,2016,0,1924,14945
Manhandled,2020,3,1924,15116
"Great White Silence, The",2413,0,1924,1764657
Help!,6209,0,1924,13845
Greed,8458,3,1924,15881
"Phantom of the Opera, The",1305,2,1925,16220
Battleship Potemkin,1308,0,1925,15648
"Gold Rush, The",1309,0,1925,15864
Go West,1978,0,1925,15863
"Freshman, The",2012,0,1925,15841
Seven Chances,3077,0,1925,16332
"Lost World, The",5514,2,1925,16039
"Big Parade, The",5962,2,1925,15624
Stachka,5991,0,1925,15361
"Temptress, The",1334,1,1926,17449
Flesh and the Devil,1260,1,1926,16884
"General, The",1310,0,1926,17925
For Heaven&#39;s Sake,1966,0,1926,16895
So&#39;s Your Old Man,3217,3,1926,17410
Die Abenteuer des Prinzen Achmed,5974,1,1926,15532
It,1227,3,1927,18033
Metropolis,1267,1,1927,17136
Abel Gance&#39;s Napoleon,1312,2,1927,18192
"Unknown, The",1311,0,1927,18528
Sunrise: A Song of Two Humans,1632,2,1927,18455
"Kid Brother, The",1964,0,1927,18051
Nevada,1982,0,1927,18199
My Best Girl,2010,3,1927,18183
Wings,3118,1,1927,18578
"Jazz Singer, The",5975,1,1927,18037
Downhill [When Boys Leave Home],7324,1,1927,17825
"Cat and the Canary, The",11142,3,1927,17739
"Passion of Joan of Arc, The",1314,0,1928,19254
Speedy,1963,0,1928,19412
"Circus, The",1968,0,1928,18773
"Cameraman, The",1970,0,1928,18742
"Steamboat Bill, Jr.",1971,0,1928,19421
"Racket, The",1972,0,1928,19304
Beggars of Life,1977,0,1928,18684
"Power of the Press, The",1979,1,1928,19290
A Girl in Every Port,1980,0,1928,18937
"Patsy, The",2013,3,1928,19258
While the City Sleeps,2017,2,1928,19571
"Man Who Laughs, The",2021,2,1928,19130
"Crowd, The",5912,1,1928,18806
"Docks of New York, The",5984,2,1928,18839
Our Dancing Daughters,9314,2,1928,19237
Un chien andalou,1313,0,1929,20530
"Cocoanuts, The",1953,2,1929,19777
Welcome Danger,1962,0,1929,20572
Pandora&#39;s Box (Die B&uuml;chse der Pandora),2324,3,1929,18737
Man with a Movie Camera,3897,0,1929,19760
Blackmail,5979,2,1929,19702
Throw of the Dice,6046,0,1929,20286
Juno and the Paycock [The Shame of Mary Boyle],7287,3,1929,21015
Broadway Melody,8464,3,1929,19729
"Blue Angel, The",1315,1,1930,20697
All Quiet on the Western Front,1316,0,1930,20629
Anna Christie,1326,3,1930,20641
Ladies of Leisure,3713,3,1930,21040
L&#39;Age d&#39;Or,3871,0,1930,21577
Morocco,3865,1,1930,21156
Min and Bill,3927,3,1930,21148
Be Yourself,4253,2,1930,20670
"Bat Whispers, The",6782,3,1930,20668
Murder!,7291,3,1930,21165
Animal Crackers,8463,3,1930,20640
M,610,3,1931,22100
M&auml;dchen in Uniform,628,3,1931,22183
Night Nurse,636,3,1931,22208
Frankenstein,1317,1,1931,21884
Anna Christie,1327,3,1931,20642
Mata Hari,1333,3,1931,23196
Tabu: A Story of the South Seas,1633,0,1931,22458
Indiscreet,1828,3,1931,22000
"Last Flight, The",1956,0,1931,22054
Pardon Us,1974,0,1931,22251
Dracula,1985,2,1931,21814
Monkey Business,2384,1,1931,22158
City Lights,2705,3,1931,21749
"Smiling Lieutenant, The",4243,2,1931,22074
"Cheat, The",5741,3,1931,21735
"Public Enemy, The",5934,3,1931,22286
La Chienne,6030,3,1931,21739
A Nous la Liberte,6031,1,1931,22599
Little Caesar,6043,1,1931,21079
"Skin Game, The",7294,3,1931,22395
Rich and Strange [East of Shanghai],7296,2,1931,23395
Dracula,8213,3,1931,21815
Cimarron,8467,3,1931,21746
Hyppolit a lakaj,8557,1,1931,21985
Skippy,9095,3,1931,22397
"Champ, The",9110,1,1931,21730
I Am a Fugitive from a Chain Gang,1318,1,1932,23042
Grand Hotel,1328,3,1932,22958
"Age of Consent, The",1983,2,1932,22614
Horse Feathers,2383,1,1932,23027
White Zombie,2550,0,1932,23694
Boudu Saved from Drowning,2767,1,1932,22718
"I Was Born, But...",3530,1,1932,23634
"Most Dangerous Game, The",3658,0,1932,23238
Freaks,3659,2,1932,22913
Island of Lost Souls,3844,1,1932,24188
"Old Dark House, The",4775,3,1932,23293
Merrily We Go to Hell,5742,3,1932,23213
"Girl from Calgary, The",5783,2,1932,22940
Vampyr,5910,3,1932,23649
Shanghai Express,5929,3,1932,23458
Three on a Match,6051,3,1932,23590
Love Me Tonight,6052,2,1932,23158
Scarface,6063,1,1932,23427
Red-Headed Woman,6092,3,1932,23385
